rfluxes_measured,rfluxes_lower,rfluxes_upper,lines_vac
0.2,0.15,0.25,5756.24
4.12,3.74,4.48,5877.27
2.8,2.36,3.08,6302.04
0.34,0.29,0.41,6313.85
0.91,0.77,1.01,6365.54
0.12,0.09,0.21,6373.12
2.55,1.86,3.02,6549.86
100.0,99.9,100.1,6564.62
7.59,5.54,8.99,6585.27
1.21,1.09,1.34,6679.99
7.33,5.55,7.76,6718.29
6.49,4.94,6.93,6732.68
1.25,1.07,1.51,7076.23
2.63,2.22,2.86,7137.75
1.21,1.1,1.38,7321.94
0.95,0.88,1.12,7332.21
0.22,0.15,0.3,7379.86
0.17,0.11,0.24,7413.65
0.64,0.57,0.72,7753.23
0.2,0.13,0.27,8440.28
0.73,0.64,0.87,8448.57
0.13,0.09,0.18,8469.58
